full_name,text,label,confidence,reason,label_id
FuzzyGrim/Yamtrack,"Repository named 'Yamtrack' in Python with high popularity (2768 stars, 191 forks). Maintained by a team of 39 contributors, 2668 total commits (68.4 per contributor). 80 releases, 273 open issues. It has CI/CD workflows, has a README of 7819 characters, 8 topics, and is licensed. The project is 3.5 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large team, many releases, broad community, and sustained activity.",3
xmaj2001/workflows-starter-template,"Repository named 'workflows-starter-template' in TypeScript with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 1 total commits (1.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 1126 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"Repository name suggests a template, minimal commits, and lack of CI/CD and tests",4
gjjlovewhy-ipoh/91kds,"Repository named '91kds' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 109 total commits (109.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 12 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",low_value,0.8,"Repository has almost no popularity, minimal documentation, and lacks a license, suggesting it may be empty or abandoned.",5
AndersNBE/kereby-scraper,"Repository named 'kereby-scraper' in Python with almost no popularity (0 stars, 0 forks). Maintained by a small team of 3 contributors, 385430 total commits (128476.7 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has no README, no topics, and is no license. The project is 0.4 years old and currently active (last push 0 days ago).",senior,0.7,"CI/CD workflows, multiple contributors, and sustained activity, but lacks documentation and popularity.",2
behnamrhp/Next-clean-boilerplate,"Repository named 'Next-clean-boilerplate' in TypeScript with low popularity (46 stars, 6 forks). Maintained by a single contributor, 101 total commits (101.0 per contributor). 0 releases, 3 open issues. It has CI/CD workflows, has a README of 6258 characters, no topics, and is licensed. The project is 1.2 years old and currently active (last push 6 days ago).",template,0.8,"Low popularity, single contributor, and presence of CI/CD workflows and a detailed README suggest a reusable boilerplate project.",4
KhaledSaeed18/node-express-boilerplate,"Repository named 'node-express-boilerplate' in TypeScript with low popularity (28 stars, 5 forks). Maintained by a small team of 2 contributors, 125 total commits (62.5 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 35322 characters, 19 topics, and is licensed. The project is 1.4 years old and currently active (last push 2 days ago).",template,0.8,"boilerplate name, high documentation, CI/CD, and active maintenance suggest a reusable template",4
vllm-project/vllm,"Repository named 'vllm' in Python with very high popularity (81369 stars, 17402 forks). Maintained by a large community of 459 contributors, 17093 total commits (37.2 per contributor). 95 releases, 5084 open issues. It has CI/CD workflows, has a README of 5693 characters, 20 topics, and is licensed. The project is 3.3 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
Priyansh-Shakya/Flutter_Starter_Template,"Repository named 'Flutter_Starter_Template' in C++ with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 9 total commits (9.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 4157 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"Repository is named 'Flutter_Starter_Template', has a large README, and is maintained by a single contributor, suggesting it's a reusable template.",4
Moiz-a11/Deep_Learning,"Repository named 'Deep_Learning' in Python with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 3 total commits (3.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has no README, no topics, and is no license. The project is 0.2 years old and currently active (last push 0 days ago).",intern,0.8,"Minimal structure, no tests/CI, tiny README, single author, very few commits, and lack of popularity.",0
infinum/eightshift-boilerplate,"Repository named 'eightshift-boilerplate' in PHP with moderate popularity (547 stars, 68 forks). Maintained by a team of 9 contributors, 720 total commits (80.0 per contributor). 32 releases, 0 open issues. It lacks CI/CD workflows, has a README of 2239 characters, 3 topics, and is licensed. The project is 9.1 years old and currently active (last push 1 days ago).",lead,0.9,"large, mature, multi-contributor, many releases, broad community, active maintenance",3
huggingface/huggingface_hub,"Repository named 'huggingface_hub' in Python with high popularity (3639 stars, 1042 forks). Maintained by a large community of 324 contributors, 2465 total commits (7.6 per contributor). 174 releases, 194 open issues. It has CI/CD workflows, has a README of 7287 characters, 8 topics, and is licensed. The project is 5.4 years old and currently active (last push 0 days ago).",lead,0.95,"Large, mature, multi-contributor repository with sustained activity, broad community, and good engineering practices.",3
rmarquina1/astro-blog-starter-template,"Repository named 'astro-blog-starter-template' in Astro with almost no popularity (0 stars, 0 forks). Maintained by a single contributor, 2 total commits (2.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 3162 characters, no topics, and is no license. The project is 0.3 years old and currently active (last push 0 days ago).",template,0.8,"The repository is named 'astro-blog-starter-template', has a large README, and is maintained by a single contributor, suggesting it's a template or starter project.",4
piuk63240-tech/react-router-starter-template,"Repository named 'react-router-starter-template' in TypeScript with almost no popularity (1 stars, 0 forks). Maintained by a single contributor, 2 total commits (2.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 2834 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"The repository is named 'react-router-starter-template', has a large README, and is maintained by a single contributor, suggesting it's a template or starter project.",4
Guramirez/nestjs-starter-api-template,"Repository named 'nestjs-starter-api-template' in TypeScript with almost no popularity (0 stars, 1 forks). Maintained by a small team of 2 contributors, 8 total commits (4.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 5124 characters, 20 topics, and is licensed. The project is 3.3 years old and currently active (last push 0 days ago).",template,0.8,"Repository name suggests a template, has a small team, and is actively maintained with a large README, indicating it's a reusable boilerplate.",4
cyzus/suzent,"Repository named 'suzent' in Python with low popularity (62 stars, 7 forks). Maintained by a small team of 4 contributors, 884 total commits (221.0 per contributor). 16 releases, 3 open issues. It has CI/CD workflows, has a README of 8081 characters, no topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago).",senior,0.8,"CI/CD workflows, multiple contributors, sustained activity, and a comprehensive README indicate a mature project, but the low popularity and lack of topics suggest it may not be as widely adopted as a lead project.",2
rozenmd/astro-blog-starter-template7,"Repository named 'astro-blog-starter-template7' in unknown with almost no popularity (0 stars, 0 forks). Maintained by a small team of 2 contributors, 2 total commits (1.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 30 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",template,0.8,"The repository is named as a starter template, has a small team, and is actively maintained, suggesting it's a reusable template.",4
ELISSABELAR/lotosoft,"Repository named 'lotosoft' in Python with almost no popularity (0 stars, 0 forks). Maintained by a small team of 2 contributors, 134 total commits (67.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 357 characters, no topics, and is no license. The project is 0.0 years old and currently active (last push 0 days ago).",junior,0.7,"Limited popularity, simple README, and lack of releases suggest a junior-level repository, but the presence of CI/CD workflows indicates some level of engineering maturity.",1
reflex-dev/reflex,"Repository named 'reflex' in Python with very high popularity (28457 stars, 1728 forks). Maintained by a large community of 199 contributors, 3127 total commits (15.7 per contributor). 280 releases, 277 open issues. It has CI/CD workflows, has a README of 4404 characters, 11 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, and robust CI/CD workflows.",3
watergis/sveltekit-maplibre-boilerplate,"Repository named 'sveltekit-maplibre-boilerplate' in TypeScript with low popularity (36 stars, 3 forks). Maintained by a small team of 2 contributors, 409 total commits (204.5 per contributor). 0 releases, 11 open issues. It has CI/CD workflows, has a README of 1323 characters, 4 topics, and is licensed. The project is 4.1 years old and currently active (last push 0 days ago).",template,0.8,"boilerplate name, CI/CD workflows, and reusable nature suggest a template repository",4
bytedance/deer-flow,"Repository named 'deer-flow' in Python with very high popularity (69954 stars, 9449 forks). Maintained by a large community of 256 contributors, 2185 total commits (8.5 per contributor). 0 releases, 927 open issues. It has CI/CD workflows, has a README of 40120 characters, 18 topics, and is licensed. The project is 1.1 years old and currently active (last push 0 days ago).",lead,0.95,"High popularity, large community, sustained activity, good documentation, CI/CD, and active maintenance.",3
